Unique ID,Name,Image,Attack Power,Attack Type,Physical Defense,Magical Defense,MAX Attack Power,MAX Attack Type,MAX Physical Defense,MAX Magical Defense,N,NE,E,SE,S,SW,W,NW
0,Slime,slime.png,(6-8),P,(8-11),(3-6),10,P,14,8,1,(0-1),(0-1),(0-1),(0-1),(0-1),(0-1),(0-1)
1,Zombie,zombie.png,(13-15),P,(9-11),(11-13),20,P,14,17,(0-1),1,(0-1),(0-1),(0-1),(0-1),(0-1),(0-1)
2,Ghost,ghost.png,(17-22),M,(17-22),(13-17),29,M,29,22,(0-1),(0-1),1,(0-1),(0-1),(0-1),(0-1),(0-1)
3,Skeleton,skeleton.png,(28-33),P,(21-26),(19-23),43,P,34,30,(0-1),(0-1),(0-1),1,(0-1),(0-1),(0-1),(0-1)
4,Black Wolf,black_wolf.png,(35-41),P,(28-35),(26-33),53,X,46,43,(0-1),(0-1),(0-1),(0-1),1,(0-1),(0-1),(0-1)
5,Goblin Sciaman,goblin_sciaman.png,(41-48),M,(33-41),(38-45),62,X,53,59,(0-1),(0-1),(0-1),(0-1),(0-1),1,(0-1),(0-1)
6,Troll,troll.png,(49-59),P,(47-56),(40-49),77,X,73,64,(0-1),(0-1),(0-1),(0-1),(0-1),(0-1),1,(0-1)
7,Centaur,centaur.png,(53-62),P,(57-67),(53-62),81,X,87,81,(0-1),(0-1),(0-1),(0-1),(0-1),(0-1),(0-1),1
8,Ginger,ginger.png,(63-75),P,(63-75),(60-72),98,X,98,94,1,(0-1),(0-1),(0-1),(0-1),(0-1),(0-1),(0-1)
9,Nymph,nymph.png,(73-86),M,(66-78),(76-89),112,X,101,116,(0-1),1,(0-1),(0-1),(0-1),(0-1),(0-1),(0-1)
10,Pegasus,pegasus.png,(80-96),P,(80-96),(80-96),125,X,125,125,(0-1),(0-1),1,(0-1),(0-1),(0-1),(0-1),(0-1)
11,Minotaur,minotaur.png,(94-111),P,(92-108),(84-100),144,X,140,130,(0-1),(0-1),(0-1),1,(0-1),(0-1),(0-1),(0-1)
12,Griffin,griffin.png,(103-122),P,(100-119),(92-111),159,A,155,144,(0-1),(0-1),(0-1),(0-1),1,(0-1),(0-1),(0-1)
13,Elementals,elementals.png,(110-130),M,(116-135),(99-118),169,A,176,153,(0-1),(0-1),(0-1),(0-1),(0-1),1,(0-1),(0-1)
14,Lamia,lamia.png,(120-142),M,(109-131),(122-145),185,A,170,189,(0-1),(0-1),(0-1),(0-1),(0-1),(0-1),1,(0-1)
15,Kraken Queen,kraken_queen.png,(130-152),M,(118-141),(132-155),198,A,183,202,(0-1),(0-1),(0-1),(0-1),(0-1),(0-1),(0-1),1
16,Lich,lich.png,(139-164),M,(125-150),(142-167),213,A,195,217,1,(0-1),(0-1),(0-1),(0-1),(0-1),(0-1),(0-1)
17,Odin,odin.png,(150-175),X,(142-167),(145-170),228,A,217,221,(0-1),1,(0-1),(0-1),(0-1),(0-1),(0-1),(0-1)
18,Dragon,dragon.png,(159-186),X,(151-178),(156-184),242,A,231,239,(0-1),(0-1),1,(0-1),(0-1),(0-1),(0-1),(0-1)
19,The Void,the_void.png,(167-193),A,(167-193),(167-193),251,A,251,251,(0-1),(0-1),(0-1),1,(0-1),(0-1),(0-1),(0-1)
20,Rage Quit,ragequit.png,(180-210),X,(180-210),(180-210),255,A,255,255,(0-1),(0-1),(0-1),(0-1),1,(0-1),(0-1),(0-1)
